home_team,away_team,date,venue_id
Doncaster Renegades,Hull Stars,2024-03-24,0
Oldham Super Kings,Rochdale Hurricanes,2024-04-04,2
Blackpool Sixers,Castleford Thunder,2024-05-05,1
Blackburn Knight Riders,Huddersfield Heat,2024-05-25,3
Blackpool Sixers,Peterborough Strikers,2024-05-24,1
Blackburn Knight Riders,Rotherham Scorchers,2024-03-26,3
Rochdale Hurricanes,Peterborough Strikers,2024-04-02,4
Doncaster Renegades,Castleford Thunder,2024-05-04,0
Huddersfield Heat,Peterborough Strikers,2024-05-02,5
Peterborough Strikers,Huddersfield Heat,2024-05-24,6
Hull Stars,Peterborough Strikers,2024-05-19,7
Rotherham Scorchers,Huddersfield Heat,2024-04-03,9
Hull Stars,Peterborough Strikers,2024-03-27,7
Hull Stars,Oldham Super Kings,2024-04-20,7
Huddersfield Heat,Doncaster Renegades,2024-03-29,5
Doncaster Renegades,Rotherham Scorchers,2024-05-23,0
Hull Stars,Castleford Thunder,2024-03-23,7
Doncaster Renegades,Peterborough Strikers,2024-04-16,0
Rotherham Scorchers,Doncaster Renegades,2024-05-16,9
Castleford Thunder,Blackpool Sixers,2024-05-17,8
Rochdale Hurricanes,Peterborough Strikers,2024-04-06,4
Rotherham Scorchers,Peterborough Strikers,2024-04-16,9
Rochdale Hurricanes,Rotherham Scorchers,2024-05-12,4
Oldham Super Kings,Doncaster Renegades,2024-04-05,2
Oldham Super Kings,Doncaster Renegades,2024-05-07,2
Oldham Super Kings,Rotherham Scorchers,2024-05-10,2
Hull Stars,Rotherham Scorchers,2024-04-29,7
Peterborough Strikers,Doncaster Renegades,2024-04-14,6
Hull Stars,Blackburn Knight Riders,2024-04-10,7
Huddersfield Heat,Oldham Super Kings,2024-05-08,5
Hull Stars,Blackburn Knight Riders,2024-05-17,7
Hull Stars,Doncaster Renegades,2024-05-14,7
Huddersfield Heat,Hull Stars,2024-05-17,5
Blackpool Sixers,Huddersfield Heat,2024-04-27,1
Hull Stars,Rotherham Scorchers,2024-05-20,7
Huddersfield Heat,Castleford Thunder,2024-04-03,5
Oldham Super Kings,Blackburn Knight Riders,2024-05-02,2
Hull Stars,Rochdale Hurricanes,2024-04-08,7
Blackpool Sixers,Hull Stars,2024-05-10,1
Rochdale Hurricanes,Blackpool Sixers,2024-05-15,4
Doncaster Renegades,Peterborough Strikers,2024-03-28,0
Oldham Super Kings,Hull Stars,2024-04-17,2
Huddersfield Heat,Blackpool Sixers,2024-05-15,5
Castleford Thunder,Blackpool Sixers,2024-05-29,8
Blackburn Knight Riders,Castleford Thunder,2024-05-10,3
Rochdale Hurricanes,Huddersfield Heat,2024-05-10,4
Peterborough Strikers,Huddersfield Heat,2024-05-29,6
Blackburn Knight Riders,Huddersfield Heat,2024-05-26,3
Huddersfield Heat,Peterborough Strikers,2024-04-13,5
Castleford Thunder,Doncaster Renegades,2024-03-31,8
Peterborough Strikers,Oldham Super Kings,2024-04-29,6
Huddersfield Heat,Blackpool Sixers,2024-04-21,5
Blackpool Sixers,Peterborough Strikers,2024-04-07,1
Blackpool Sixers,Huddersfield Heat,2024-04-20,1
Rotherham Scorchers,Doncaster Renegades,2024-04-19,9
Huddersfield Heat,Castleford Thunder,2024-03-30,5
Doncaster Renegades,Rochdale Hurricanes,2024-05-25,0
Blackburn Knight Riders,Doncaster Renegades,2024-05-11,3
Blackburn Knight Riders,Rotherham Scorchers,2024-05-17,3
Peterborough Strikers,Oldham Super Kings,2024-04-09,6
Hull Stars,Blackpool Sixers,2024-04-12,7
Oldham Super Kings,Doncaster Renegades,2024-04-11,2
Rochdale Hurricanes,Blackburn Knight Riders,2024-05-23,4
Oldham Super Kings,Huddersfield Heat,2024-05-08,2
Oldham Super Kings,Doncaster Renegades,2024-04-12,2
Rotherham Scorchers,Hull Stars,2024-05-02,9
Huddersfield Heat,Oldham Super Kings,2024-05-11,5
Peterborough Strikers,Doncaster Renegades,2024-05-06,6
Doncaster Renegades,Rotherham Scorchers,2024-05-18,0
Doncaster Renegades,Huddersfield Heat,2024-05-22,0
Rochdale Hurricanes,Rotherham Scorchers,2024-04-06,4
Doncaster Renegades,Blackburn Knight Riders,2024-04-05,0
Oldham Super Kings,Blackburn Knight Riders,2024-05-06,2
Peterborough Strikers,Huddersfield Heat,2024-04-08,6
